drink_name,ingredient_name,measurement_oz,measurement_ml
'57 Chevy with a White License Plate,Creme De Cacao White,1 oz white,30.0
'57 Chevy with a White License Plate,Vodka,1 oz,30.0
1-900-FUK-MEUP,Grand Marnier,1/4 oz,7.5
1-900-FUK-MEUP,Midori Melon Liqueur,1/4 oz,7.5
1-900-FUK-MEUP,Malibu Rum,1/4 oz,7.5
1-900-FUK-MEUP,Amaretto,1/4 oz,7.5
1-900-FUK-MEUP,Cranberry Juice,1/2 oz,15.0
1-900-FUK-MEUP,Pineapple Juice,1/4 oz,7.5
1-900-FUK-MEUP,Chambord Raspberry Liqueur,1/4 oz,7.5
1-900-FUK-MEUP,Absolut Kurant,1/2 oz,15.0
110 in the shade,Tequila,1.5 oz,45.0
110 in the shade,Lager,16 oz,480.0
151 Florida Bushwacker,Dark Creme De Cacao,1 oz,30.0
151 Florida Bushwacker,Coconut Liqueur,1 oz,30.0
151 Florida Bushwacker,Light Rum,1/2 oz,15.0
151 Florida Bushwacker,Milk,3 oz,90.0
151 Florida Bushwacker,Cointreau,1 oz,30.0
151 Florida Bushwacker,Malibu Rum,1/2 oz,15.0
151 Florida Bushwacker,151 Proof Rum,1/2 oz bacardi,15.0
155 Belmont,Light Rum,2 shots,50.0
155 Belmont,Orange Juice,1 shot,25.0
155 Belmont,Vodka,1 shot,25.0
155 Belmont,Dark Rum,1 shot,25.0
24k nightmare,Jägermeister,1/2 oz,15.0
24k nightmare,Goldschlager,1/2 oz,15.0
24k nightmare,151 Proof Rum,1/2 oz bacardi,15.0
24k nightmare,Rumple Minze,1/2 oz,15.0
252,Wild Turkey,1/2 shot,12.5
252,151 Proof Rum,1/2 shot bacardi,12.5
3 Wise Men,Jim Beam,1/3 oz,10.0
3 Wise Men,Johnnie Walker,1/3 oz,10.0
3 Wise Men,Jack Daniels,1/3 oz,10.0
3-Mile Long Island Iced Tea,Light Rum,1/2 oz,15.0
3-Mile Long Island Iced Tea,Vodka,1/2 oz,15.0
3-Mile Long Island Iced Tea,Sweet And Sour,1-2 dash,30.0
3-Mile Long Island Iced Tea,Triple Sec,1/2 oz,15.0
3-Mile Long Island Iced Tea,Bitters,1 wedge,1.0
3-Mile Long Island Iced Tea,Gin,1/2 oz,15.0
3-Mile Long Island Iced Tea,Tequila,1/2 oz,15.0
410 Gone,Peach Vodka,2-3 oz,75.0
50/50,Vanilla Vodka,2 1/2 oz,75.0
50/50,Grand Marnier,1 splash,6.0
69 Special,7-Up,4 oz,120.0
69 Special,Gin Dry,2 oz dry,60.0
69 Special,Lemon Juice,0.75 oz,22.5
747,Bailey'S Irish Cream,1/3 part,10.0
747,Kahlua,1/3 part,10.0
747,Frangelico,1/3 part,10.0
9 1/2 Weeks,Orange Curacao,1/2 oz,15.0
9 1/2 Weeks,Strawberry Liqueur,1 splash,6.0
9 1/2 Weeks,Orange Juice,1 oz,30.0
9 1/2 Weeks,Absolut Citron,2 oz,60.0
A Day at the Beach,Grenadine,1/2 oz,15.0
A Day at the Beach,Amaretto,1/2 oz,15.0
A Day at the Beach,Orange Juice,4 oz,120.0
A Day at the Beach,Coconut Rum,1 oz,30.0
A Furlong Too Late,Ginger Beer,4 oz,120.0
A Furlong Too Late,Light Rum,2 oz,60.0
A Gilligan's Island,Peach Schnapps,1 oz,30.0
A Gilligan's Island,Cranberry Juice,3 oz,90.0
A Gilligan's Island,Orange Juice,3 oz,90.0
A Gilligan's Island,Vodka,1 oz,30.0
A Night In Old Mandalay,Ginger Ale,3 oz,90.0
A Night In Old Mandalay,Lemon Juice,1/2 oz,15.0
A Night In Old Mandalay,Añejo Rum,1 oz,30.0
A Night In Old Mandalay,Light Rum,1 oz,30.0
A Night In Old Mandalay,Orange Juice,1 oz,30.0
A Piece of Ass,Amaretto,1 shot,25.0
A Piece of Ass,Southern Comfort,1 shot,25.0
A Splash of Nash,Creme De Banane,0.5 oz,15.0
A Splash of Nash,Midori Melon Liqueur,0.5 oz,15.0
A Splash of Nash,Soda Water,2 oz,60.0
A Splash of Nash,Cranberry Juice,2 oz,60.0
A True Amaretto Sour,Lemon,juice of 1/2,22.5
A True Amaretto Sour,Amaretto,1 jigger,44.0
A midsummernight dream,Strawberries,5,150.0
A midsummernight dream,Kirschwasser,1 oz,30.0
A midsummernight dream,Vodka,2 oz,60.0
A. J.,Grapefruit Juice,1 oz,30.0
A. J.,Applejack,1 1/2 oz,45.0
A.D.M. (After Dinner Mint),Southern Comfort,3/4 oz,22.5
A.D.M. (After Dinner Mint),Vodka,1/2 oz,15.0
A.D.M. (After Dinner Mint),White Creme De Menthe,1/2 oz,15.0
A1,Grenadine,1/8 shot,3.125
A1,Gin,1 3/4 shot,43.75
A1,Lemon Juice,1/4 shot,6.25
A1,Grand Marnier,1 shot,25.0
ABC,Amaretto,1/3,10.0
ABC,Bailey'S Irish Cream,1/3,10.0
ABC,Cognac,1/3,10.0
ACID,151 Proof Rum,1 oz bacardi,30.0
ACID,Wild Turkey,1 oz,30.0
AT&T,Tonic Water,4 oz,120.0
AT&T,Gin,1 oz,30.0
AT&T,Absolut Vodka,1 oz,30.0
Abbey Cocktail,Orange,juice of 1/4,18.75
Abbey Cocktail,Orange Bitters,1 dash,1.0
Abbey Cocktail,Gin,1 1/2 oz,45.0
Abbey Martini,Sweet Vermouth,1 shot,25.0
Abbey Martini,Orange Juice,1 shot,25.0
Abbey Martini,Angostura Bitters,3 dashes,3.0
Abbey Martini,Gin,2 shots,50.0
Abilene,Peach Nectar,2 oz,60.0
Abilene,Orange Juice,3 oz,90.0
Abilene,Dark Rum,1 1/2 oz,45.0
Absolut Evergreen,Pisang Ambon,1/3 part,10.0
Absolut Evergreen,Absolut Citron,2/3 part,20.0
Absolut Sex,Midori Melon Liqueur,3/4 oz,22.5
Absolut Sex,Sprite,1 splash,6.0
Absolut Sex,Cranberry Juice,1 oz,30.0
Absolut Sex,Absolut Kurant,3/4 oz,22.5
Absolut Stress #2,Pineapple Juice,1 1/2 oz,45.0
Absolut Stress #2,Peach Schnapps,1/2 oz,15.0
Absolut Stress #2,Coconut Liqueur,1/2 oz,15.0
Absolut Stress #2,Cranberry Juice,1 1/2 oz,45.0
Absolut Stress #2,Absolut Vodka,1 1/2 oz,45.0
Absolut Summertime,Absolut Citron,1 1/2 oz,45.0
Absolut Summertime,Sprite,1/2 oz,15.0
Absolut Summertime,Sweet And Sour,3/4 oz,22.5
Absolut Summertime,Soda Water,3 oz,90.0
Absolut limousine,Lime Juice,1/3,10.0
Absolut limousine,Absolut Citron,2/3,20.0
Absolutely Cranberry Smash,Ginger Ale,2 oz,60.0
Absolutely Cranberry Smash,Cranberry Juice,4 oz,120.0
Absolutely Cranberry Smash,Absolut Vodka,2 oz,60.0
Absolutely Fabulous,Cranberry Juice,2 shots,50.0
Absolutely Fabulous,Vodka,1 shot,25.0
Absolutly Screwed Up,Triple Sec,1 shot,25.0
Absolutly Screwed Up,Absolut Citron,1 shot,25.0
Absolutly Screwed Up,Orange Juice,1 shot,25.0
Acapulco,Egg White,1,45.0
Acapulco,Light Rum,1 1/2 oz,45.0
Ace,Milk,1/2 shot,12.5
Ace,Grenadine,1/2 shot,12.5
Ace,Egg White,1/2 fresh,22.5
Ace,Gin,2 shots,50.0
Ace,Heavy Cream,1/2 shot,12.5
Adam,Lemon Juice,1 oz,30.0
Adam,Dark Rum,2 oz,60.0
Adam & Eve,Fresh Lemon Juice,1/8 shot,3.125
Adam & Eve,Creme De Cassis,1 shot,25.0
Adam & Eve,Cognac,1 shot,25.0
Adam & Eve,Gin,1 shot,25.0
Adam Bomb,Triple Sec,1/2 part,15.0
Adam Bomb,Vodka,1 part,30.0
Adam Bomb,Tequila,1 part,30.0
Adam Bomb,Rum,1 part,30.0
Adam Sunrise,Water,1/2,15.0
Adam Sunrise,Lemonade,1/2 can,165.0
Adam Sunrise,Vodka,1/2,15.0
Addington,Dry Vermouth,1 shot,25.0
Addington,Sweet Vermouth,2 shots,50.0
Addison,Vermouth,1 1/2 shot,37.5
Addison,Gin,1 1/2 shot,37.5
Addison Special,Vodka,1 shot,25.0
Adios Amigos Cocktail,Rum,1 shot,25.0
Adios Amigos Cocktail,Cognac,1/2 shot,12.5
Adios Amigos Cocktail,Fresh Lime Juice,1/4 shot,6.25
Adios Amigos Cocktail,Dry Vermouth,1/2 shot,12.5
Adios Amigos Cocktail,Sugar Syrup,1/4 shot,6.25
Adios Amigos Cocktail,Water,1/2 shot,12.5
Adios Amigos Cocktail,Gin,1/2 shot,12.5
Adonis Cocktail,Sweet Vermouth,3/4 oz,22.5
Adonis Cocktail,Orange Bitters,1 dash,1.0
